"date","close","volume","open","high","low"
"2014/12/17","333.6500","2883224.0000","317.6300","335.0700","315.5405"
"2014/12/16","316.4400","2423498.0000","324.9900","329.4900","316.0000"
"2014/12/15","327.0400","1717177.0000","336.3900","338.9300","326.3300"
"2014/12/12","334.4800","1937562.0000","331.9200","338.2600","328.8600"
"2014/12/11","334.6300","1681345.0000","336.0900","340.9000","333.5900"
"2014/12/10","334.3200","1808904.0000","343.1500","344.7300","333.6600"
"2014/12/09","343.7800","2569871.0000","334.7400","345.3600","329.0200"
"2014/12/08","339.4800","1946544.0000","349.1700","349.8800","338.0300"
"2014/12/05","350.9200","1418543.0000","351.0300","354.5000","348.1300"
"2014/12/04","350.6000","1694003.0000","353.0000","357.9500","349.3600"
"2014/12/03","355.1200","1975552.0000","351.5500","355.1200","344.2700"
"2014/12/02","352.3100","2037392.0000","341.3000","353.3400","340.8400"
"2014/12/01","341.8100","1708956.0000","345.0000","347.0000","337.6402"
"2014/11/28","346.5900","957465.0000","353.5900","354.0000","345.9900"
"2014/11/26","351.1600","1437538.0000","351.0800","353.6900","348.2182"
"2014/11/25","348.9900","4013312.0000","351.0200","352.4336","344.0000"
"2014/11/24","356.4700","2551278.0000","360.5600","363.4583","355.4000"
"2014/11/21","360.2800","2550449.0000","372.4800","373.2500","359.5000"
"2014/11/20","368.1400","2202508.0000","363.0900","373.2600","361.0000"
"2014/11/19","363.1000","3494950.0000","383.2100","387.0500","362.6600"
"2014/11/18","381.0300","1129978.0000","381.0000","384.9000","380.5300"
"2014/11/17","381.1400","1316516.0000","385.3800","389.4999","380.7500"
"2014/11/14","386.0400","1567305.0000","379.3800","387.2200","378.5650"
"2014/11/13","379.4100","1496520.0000","384.4600","385.0490","377.5250"
"2014/11/12","383.8600","1565002.0000","381.1300","385.9600","377.0442"
"2014/11/11","382.5500","2118949.0000","387.2700","394.1000","381.8100"
"2014/11/10","387.2700","1386713.0000","383.0000","389.4500","379.0000"
"2014/11/07","384.1600","1328094.0000","383.4400","385.2500","379.3000"
"2014/11/06","383.3000","1427003.0000","378.0000","385.3300","377.3500"
"2014/11/05","380.3800","1945575.0000","385.6100","387.8400","376.3917"
"2014/11/04","382.7800","1624792.0000","386.9200","387.2500","378.7700"
"2014/11/03","388.4100","2511239.0000","393.2300","395.5200","385.1100"
"2014/10/31","392.7700","2923318.0000","384.4000","393.7700","384.0000"
"2014/10/30","379.0100","1512414.0000","377.5100","382.3400","374.6000"
"2014/10/29","378.1000","1784375.0000","386.2200","386.6775","377.7700"
"2014/10/28","386.2200","1673064.0000","379.7500","386.8700","378.3500"
"2014/10/27","379.4000","2134178.0000","383.9000","384.5000","376.7000"
"2014/10/24","385.0200","2090725.0000","382.5800","387.0000","380.8100"
"2014/10/23","383.0400","2844012.0000","380.5200","385.7700","378.2501"
"2014/10/22","374.6500","4592840.0000","368.9900","381.9800","363.2000"
"2014/10/21","365.9900","2765000.0000","362.2600","366.7900","355.4400"
"2014/10/20","359.2200","4785999.0000","356.0000","369.1900","355.5522"
"2014/10/17","357.0900","11305220.0000","359.8100","360.0700","341.5000"
"2014/10/16","361.7000","13164170.0000","332.7300","366.1700","331.0000"
"2014/10/15","448.5900","8157703.0000","444.4700","450.9800","430.1800"
"2014/10/14","449.1200","2390504.0000","445.5100","451.9900","438.1300"
"2014/10/13","438.5800","2882390.0000","451.2500","452.4701","433.0000"
"2014/10/10","452.0800","2729663.0000","459.8000","464.8400","451.4400"
"2014/10/09","461.6200","2132041.0000","466.6300","467.9900","459.5600"
"2014/10/08","466.8600","2047073.0000","456.6500","467.6000","451.3843"
"2014/10/07","456.2500","1964695.0000","461.1000","466.2800","456.0000"
"2014/10/06","463.4800","1958184.0000","462.0000","467.2100","461.0000"
"2014/10/03","459.5400","2181021.0000","453.1900","460.6000","452.5100"
"2014/10/02","449.9800","2635479.0000","438.9000","450.4900","437.8800"
"2014/10/01","438.8000","2202295.0000","448.6900","450.0000","437.2900"
"2014/09/30","451.1800","1781819.0000","452.3000","457.1895","449.8000"
"2014/09/29","449.5600","1359242.0000","444.0700","450.5400","442.0200"
"2014/09/26","448.7500","1486375.0000","445.0000","450.6400","443.8900"
"2014/09/25","443.4900","1405267.0000","449.9000","452.3500","442.4200"
"2014/09/24","450.5600","1364215.0000","444.4600","451.6600","442.5400"
"2014/09/23","443.9000","1638110.0000","441.2300","448.0100","440.5000"
"2014/09/22","442.7800","2308743.0000","456.2700","456.9500","438.8801"
"2014/09/19","457.5200","1708085.0000","461.0000","461.3300","454.1700"
"2014/09/18","459.0100","1518293.0000","457.4700","461.3600","453.3200"
"2014/09/17","454.5300","1732839.0000","456.9100","458.8655","451.2900"
"2014/09/16","456.9100","3833471.0000","448.4000","458.1400","445.6000"
"2014/09/15","457.7500","2919844.0000","477.5400","477.5400","456.8500"
"2014/09/12","476.5500","1917454.0000","483.6500","484.8900","476.1200"
"2014/09/11","481.5600","1123303.0000","482.5700","484.3600","479.6700"
"2014/09/10","484.3900","1298136.0000","480.2000","484.7500","477.0368"
"2014/09/09","479.0100","2818799.0000","486.3000","489.2867","476.4000"
"2014/09/08","479.3300","1094043.0000","474.4000","480.6000","474.2000"
"2014/09/05","475.6800","1706817.0000","473.2300","477.3500","470.0700"
"2014/09/04","472.6700","1707763.0000","479.1100","481.6900","472.1300"
"2014/09/03","477.3900","2314802.0000","480.5200","487.6000","476.5300"
"2014/09/02","476.6000","1254579.0000","478.5000","478.7900","474.5900"
"2014/08/29","477.6400","1405053.0000","476.8500","480.5000","474.1400"
"2014/08/28","475.2100","1083419.0000","472.6500","477.4800","470.8100"
"2014/08/27","474.7000","1483352.0000","479.4000","480.2450","473.6300"
"2014/08/26","479.3600","1445154.0000","478.5000","481.8500","474.5510"
"2014/08/25","480.9300","1925230.0000","481.5500","485.3000","477.5300"
